Date,Open,High,Low,Close,Adj Close,Volume
6/17/2021,1775.7,1792.4,1767.9,1767.9,1767.9,354
6/20/2021,1768.8,1785.2,1766.8,1781.8,1781.8,38
6/21/2021,1783.4,1786.9,1775.9,1776.3,1776.3,101
6/22/2021,1780.7,1793.2,1780.6,1782.3,1782.3,136
6/23/2021,1778.9,1786.4,1775.6,1775.6,1775.6,78
6/24/2021,1777.7,1788,1775.2,1776.6,1776.6,35
6/27/2021,1779.6,1779.6,1779.6,1779.6,1779.6,888
6/28/2021,1776.8,1777.1,1752.1,1762.8,1762.8,419
6/29/2021,1761.1,1770.8,1759.2,1770.8,1770.8,51
6/30/2021,1775.7,1781.2,1768.8,1775.9,1775.9,44
7/1/2021,1778.7,1787.9,1778.3,1782.6,1782.6,23
7/5/2021,1786.7,1809.8,1786.7,1793.5,1793.5,332
7/6/2021,1798.7,1808.4,1797.2,1801.5,1801.5,244
7/7/2021,1797,1818.5,1797,1799.6,1799.6,148
7/8/2021,1803.6,1810.1,1798.8,1810.0,1810,218
7/11/2021,1802.6,1805.5,1799.5,1805.5,1805.5,147
7/12/2021,1808.1,1812,1800.6,1809.4,1809.4,78
7/13/2021,1813.1,1829,1813.1,1824.3,1824.3,707
7/14/2021,1831.6,1833,1823.4,1828.4,1828.4,99
7/15/2021,1830.1,1831.4,1814.5,1814.5,1814.5,78
7/18/2021,1803.3,1813.4,1803.3,1808.7,1808.7,33
7/19/2021,1812.9,1824,1810.9,1810.9,1810.9,128
7/20/2021,1807,1807,1800,1802.9,1802.9,135
7/21/2021,1793.6,1805,1793.6,1805.0,1805,2
7/22/2021,1800,1801.4,1800,1801.4,1801.4,1
7/25/2021,1802.5,1802.5,1797.2,1798.7,1798.7,17
